German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
das Girokonto,الحساب الجاري,داس غيروكونتو,das,,noun,,,new,0,
überziehen,زيادة,وبرتسيهن,,,word,,,new,0,
der Kredit,القرض,دير كرِديت,der,,noun,,,new,0,
die Girocard,بطاقة الخصم,دي غيروكارد,die,,noun,,,new,0,
meinen Sie,هل تقصد,مآينن زي,,,phrase,,,new,0,
Du meinst ...,تقصد ...,دو مآينزت ...,,,sentence,,,new,0,رموز أو جزء مبتور يحتاج مراجعة
Was bedeutet ...?,ماذا يعني ذلك ...؟,فاس بهدأويتهت ...?,,,phrase,,,new,0,رموز أو جزء مبتور يحتاج مراجعة
nachfragen,بسأل,ناخفراغن,,,word,,,new,0,
der Bankkaufmann,موظف البنك,دير بانككآوفمانن,der,,noun,,,new,0,
der Bankangestellte,موظف البنك,دير بانكانغهزتللته,der,,noun,,,new,0,
die Bankangestellte,موظف البنك,دي بانكانغهزتللته,die,,noun,,,new,0,
der Bankräuber,سارق البنك,دير بانكرأويبر,der,,noun,,,new,0,
der Banküberfall,سرقة البنك,دير بانكوبرفالل,der,,noun,,,new,0,
Geld einzahlen,إيداع الأموال,غلد آينتساهلن,,,phrase,,,new,0,
Geld überweisen,تحويل الأموال,غلد وبرفآيزن,,,phrase,,,new,0,
Geld abheben,سحب الأموال,غلد ابهِبن,,,phrase,,,new,0,
Er freut sich.,إنه مسرور.,إير فرأويت زيش.,,,sentence,,,new,0,
wütend,غاضب,فوتند,,,word,,,new,0,
sauer,حامِض,زآور,,,word,,,new,0,
stinksauer,حانِق,شتينكزآور,,,word,,,new,0,
erleichtert,مرتاح,رلآيشترت,,,word,,,new,0,
dankbar,ممتن,دانكبار,,,word,,,new,0,
Wirklich?,حقًا؟,فيركليش?,,,word,,,new,0,
die Bank,البنك,دي بانك,die,,noun,,,new,0,
das Konto,الحساب,داس كونتو,das,,noun,,,new,0,
das Sparkonto,حساب التوفير,داس شباركونتو,das,,noun,,,new,0,
ein Konto eröffnen,افتح حسابًا,آين كونتو روِففنن,,,phrase,,,new,0,
Ich melde mich an.,سأسجل.,إيش ملده ميش آن.,,,sentence,,,new,0,
die Meldebescheinigung,شهادة التسجيل,دي ملدِبهشآينيغونغ,die,,noun,,,new,0,
die Arbeitsbescheinigung,شهادة العمل,دي اربآيتزبهشآينيغونغ,die,,noun,,,new,0,
das Einwohnermeldeamt,مكتب تسجيل السكان,داس آينفوهنرملدِامت,das,,noun,,,new,0,
der EU-Bürger,مواطن الاتحاد الأوروبي,دير أوي-بورغر,der,,noun,,,new,0,
die EU-Bürgerin,مواطن الاتحاد الأوروبي,دي أوي-بورغرين,die,,noun,,,new,0,
der Ausländer,الأجنبي,دير آوزليندر,der,,noun,,,new,0,
die Ausländerin,الأجنبي,دي آوزليندرين,die,,noun,,,new,0,
sparen,يحفظ,شبارن,,,word,,,learning,9,
Geld ausgeben,أنفق المال,غلد آوزغهبن,,,phrase,,,new,0,
Geld zurücklegen,خصص مبلغاً من المال,غلد تسوروكلِغن,,,phrase,,,new,0,
Er kann sich ein Motorrad leisten.,بإمكانه شراء دراجة نارية.,إير كانن زيش آين موتورراد لآيزتن.,,,sentence,,,new,0,
der Geldschein,الورقة النقدية,دير غلدشآين,der,,noun,,,new,0,
die Münze,العملة,دي مونتسه,die,,noun,,,new,0,
geizig,بخيل,غآيتسيغ,,,word,,,new,0,
die Lebensmittel,الطعام,دي لِبنزميتتل,die,,noun,,,new,0,
die To-do-Liste,قائمة المهام,دي تو-دو-ليزته,die,,noun,,,new,0,
als,مثل,الز,,,word,,,new,0,
der Sohn,الابن,دير زوهن,der,,noun,,,new,0,
die Söhne,الأبناء,دي زوِهنه,die,,noun,,,new,0,
die Tochter,الابنة,دي توختر,die,,noun,,,new,0,
die Töchter,البنات,دي توِشتر,die,,noun,,,new,0,
die Frau,المرأة,دي فرآو,die,,noun,,,new,0,
die Frauen,النساء,دي فرآون,die,,noun,,,new,0,
die Freundin,الصديقة,دي فرأويندين,die,,noun,,,new,0,
die Freundinnen,الأصدقاء,دي فرأوينديننن,die,,noun,,,new,0,
die Großmutter,الجدة,دي غروسموتتر,die,,noun,,,new,0,
die Großmütter,الجدات,دي غروسموتتر,die,,noun,,,new,0,
die Geschwister,الأشقاء,دي غهشفيزتر,die,,noun,,,new,0,
die Schwester,الأخت,دي شفِزتر,die,,noun,,,new,0,
ledig,أعزب,لِديغ,,,word,,,new,0,
verheiratet,متزوج,فرهآيراتهت,,,word,,,new,0,
geschieden,مُطلّق,غهشيدن,,,word,,,new,0,
der Enkel,الحفيد,دير نكل,der,,noun,,,new,0,
mit,مع,ميت,,,word,,,new,0,
bei,في,باي,,,word,,,new,0,
zur,ل,تسور,,,word,,,new,0,
fern,بعيد,فرن,,,word,,,new,0,
also,لذا,الزو,,,word,,,new,0,
noch,ما زال,نوخ,,,word,,,new,0,
nur,فقط,نور,,,word,,,new,0,
schon,بالفعل,شون,,,word,,,new,0,
erst,أولاً,رزت,,,word,,,new,0,
wieder,مرة أخرى,فيدر,,,word,,,new,0,
wiederum,مرة أخرى,فيدروم,,,word,,,new,0,
eben,حتى,ِبن,,,word,,,new,0,
mal,فقط,مال,,,word,,,new,0,
denn,لأن,دين,,,word,,,new,0,
ja,نعم,يا,,,word,,,new,0,
halt,قف,هالت,,,word,,,new,0,
wohl,من المحتمل,فوهل,,,word,,,new,0,
eigentlich,في الحقيقة,آيغنتليش,,,word,,,new,0,
leider,للأسف,لآيدر,,,word,,,new,0,
fast,بالكاد,فازت,,,word,,,new,0,
ziemlich,تمامًا,تسيمليش,,,word,,,new,0,
besonders,خصوصًا,بهزوندرز,,,word,,,new,0,
mehr,أكثر,مير,,,word,,,new,0,
weniger,عدد أقل,فنيغر,,,word,,,new,0,
noch nicht,ليس بعد,نوخ نيشت,,,phrase,,,weak,47,
nicht mehr,لم يعد,نيشت مير,,,phrase,,,new,0,
schon wieder,مرة أخرى,شون فيدر,,,phrase,,,new,0,
immer noch,ما زال,يممر نوخ,,,phrase,,,new,0,
dann,ثم,دانن,,,word,,,new,0,
danach,بعد ذلك,داناخ,,,word,,,new,0,
darum,لذلك,داروم,,,word,,,new,0,
aber,لكن,آبر,,,word,,,new,0,
wenn,لو,فنن,,,word,,,new,0,
das Smartphone,الهاتف الذكي,داس زمارتفونه,das,,noun,,,new,0,
das Handy,الهاتف,داس هاندي,das,,noun,,,new,0,
der Anrufbeantworter,جهاز الرد الآلي,دير انروفبهانتفورتر,der,,noun,,,new,0,
die Durchwahl,الامتداد,دي دورشفاهل,die,,noun,,,new,0,
das Gespräch,المحادثة,داس غهزبريش,das,,noun,,,new,0,
die Familiengeschichte,تاريخ العائلة,دي فاميلينغهشيشته,die,,noun,,,new,0,
klingeln,جرس,كلينغلن,,,word,,,new,0,
Meine Mutter macht sich Sorgen,أمي قلقة.,مآينه موتتر ماخت زيش زورغن,,,sentence,,,new,0,
mit dem Vater telefonieren,تحدث إلى والدك عبر الهاتف,ميت دِم فاتر تلِفونيرن,,,sentence,,,learning,9,
beim Sprachkurs,خلال دورة اللغة,بآيم شبراخكورز,,,phrase,,,new,0,
zum hundertsten Mal,للمرة المئة,تسوم هوندرتزتن مال,,,phrase,,,new,0,
Meine Eltern hören mir nie zu,والداي لا يستمعان إليّ أبداً.,مآينه لترن هورن مير ني تسو,,,sentence,,,new,0,
es ist ihnen egal,لا يكترثون,إس يزت يهنن ِغال,,,sentence,,,new,0,
streng,بشكل صارم,شترنغ,,,word,,,new,0,
abhauen,اهرب,ابهآون,,,word,,,new,0,
außerdem,بصرف النظر عن ذلك,آوسردِم,,,word,,,new,0,
erwachsen,بالغ,رفاخزن,,,word,,,new,0,
schieben,يدفع,شيبن,,,word,,,new,0,
der Single,الأغنية المنفردة,دير زينغله,der,,noun,,,new,0,
mit dem Sohn spielen,اللعب مع ابني,ميت دِم زوهن شبيلن,,,sentence,,,new,0,
ab,بعيد,اب,,,word,,,new,0,
ab (+ D.),من (+ د.),اب (+ د.),,,phrase,,,new,0,
abends,في المساء,ابندز,,,word,,,new,0,
abfahren,مغادرة,ابفاهرن,,,word,,,new,0,
abgeben,تسليم,ابغهبن,,,word,,,new,0,
abheben,ارفع,ابهِبن,,,word,,,new,0,
abholen,يلتقط,ابهولن,,,word,,,new,0,
ablehnen,رفض,ابلِهنن,,,word,,,new,0,
absagen,يلغي,ابزاغن,,,word,,,new,0,
abschließen,مكتمل,ابشليسن,,,word,,,new,0,
abwechseln,البديل,ابفِشزلن,,,word,,,new,0,
abwechselnd,بالتناوب,ابفِشزلند,,,word,,,new,0,
acht,ثمانية,اخت,,,word,,,new,0,
Achtung,خطر,اختونغ,,,word,,,new,0,
achtzehn,ثمانية عشر,اختسِهن,,,word,,,new,0,
achtzig,ثمانون,اختسيغ,,,word,,,new,0,
aktiv,نشيط,اكتيف,,,word,,,new,0,
aktuell,حاضِر,اكتولل,,,word,,,new,0,
Algerien,الجزائر,الغرين,,,word,,,new,0,
alle,الجميع,الله,,,word,,,new,0,
allein,وحيد,اللآين,,,word,,,new,0,
alles,كل شئ,اللِز,,,word,,,new,0,
alles Gute,أتمنى لك كل خير,اللِز غوته,,,phrase,,,new,0,
alphabetische VVortliste erleben,تجربة قائمة أبجدية,الفابهتيشه ففورتليزته رلِبن,,,phrase,,,new,0,
also gut,حسناً إذاً,الزو غوت,,,phrase,,,new,0,
alt,قديم,الت,,,word,,,new,0,
am,في,آم,,,word,,,new,0,
an sein,له,آن زآين,,,phrase,,,new,0,
an (+ A.),an (+ A.),آن (+ ا.),,,phrase,,,new,0,
an (+ D.),an (+ D.),آن (+ د.),,,phrase,,,new,0,
anbieten,يعرض,انبيتن,,,word,,,new,0,
andere,آخر,اندره,,,word,,,new,0,
anders,مختلف,اندرز,,,word,,,new,0,
anfangen,يبدأ,انفانغن,,,word,,,new,0,
anklicken,انقر,انكليكن,,,word,,,new,0,
ankreuzen,علامة صح,انكرأويتسن,,,word,,,new,0,
anmachen,قم بتشغيل,انماخن,,,word,,,new,0,
anmelden,يسجل,انملدن,,,word,,,new,0,
annehmen,يفترض,اننِهمن,,,word,,,new,0,
anprobieren,جربها,انبروبيرن,,,word,,,new,0,
ansehen,منظر,انزِهن,,,word,,,new,0,
antworten,إجابة,انتفورتن,,,word,,,new,0,
anziehen,وضعت على,انتسيهن,,,word,,,new,0,
Arabisch,عربي,ارابيش,,,word,,,new,0,
arbeiten,عمل,اربآيتن,,,word,,,new,0,
arbeitslos,غير موظف,اربآيتزلوز,,,word,,,new,0,
Argentinien,الأرجنتين,ارغنتينين,,,word,,,new,0,
argentinisch,أرجنتيني,ارغنتينيش,,,word,,,new,0,
asiatisch,آسيوي,ازياتيش,,,word,,,new,0,
attraktiv,جذاب,اتتراكتيف,,,word,,,new,0,
auf,على,آوف,,,word,,,new,0,
auf jeden Fall,على أي حال,آوف يِدن فالل,,,phrase,,,new,0,
auf sein,أن يكون مستيقظًا,آوف زآين,,,phrase,,,new,0,
auf Wiederhören,مع السلامة,آوف فيدرهورن,,,phrase,,,new,0,
auf Wiedersehen,مع السلامة,آوف فيدرزِهن,,,phrase,,,new,0,
auf (+ A.),على (+ أ.),آوف (+ ا.),,,phrase,,,new,0,
auf (+ D.),على (+ د.),آوف (+ د.),,,phrase,,,new,0,
aufgeregt,منزعج,آوفغرِغت,,,word,,,new,0,
aufhängen,شنقاً,آوفهينغن,,,word,,,new,0,
aufhören,قف,آوفهورن,,,word,,,new,0,
aufmachen,افتح,آوفماخن,,,word,,,new,0,
aufpassen,احذر,آوفباززن,,,word,,,new,0,
aufregend,مثير,آوفرِغند,,,word,,,new,0,
aufräumen,تنظيف,آوفرأويمن,,,word,,,new,0,
aufschreiben,اكتب,آوفشرآيبن,,,word,,,new,0,
aufstehen,الوقوف,آوفزتههن,,,word,,,new,0,
aufstellen,يثبت,آوفزتللن,,,word,,,new,0,
aus sein,انزل,آوس زآين,,,phrase,,,new,0,
aus (+ D.),من (+ د.),آوس (+ د.),,,phrase,,,new,0,
ausdrucken,مطبعة,آوزدروكن,,,word,,,new,0,
ausdrücken,للتعبير,آوزدروكن,,,word,,,new,0,
ausgeben,ينفق,آوزغهبن,,,word,,,new,0,
ausgehen,الخروج,آوزغههن,,,word,,,new,0,
ausmachen,أطفئ,آوزماخن,,,word,,,new,0,
ausprobieren,يحاول,آوزبروبيرن,,,word,,,new,0,
ausrichten,محاذاة,آوزريشتن,,,word,,,new,0,
ausruhen,يستريح,آوزروهن,,,word,,,new,0,
ausschlafen,استمتع بالنوم حتى وقت متأخر,آوزشلافن,,,word,,,new,0,
aussehen,ينظر,آوززِهن,,,word,,,new,0,
aussprechen,يعبر,آوززبرِشن,,,word,,,new,0,
aussteigen,مخرج,آوززتآيغن,,,word,,,new,0,
austauschen,تبادل,آوزتآوشن,,,word,,,new,0,
auswendig,عن طريق التلقين,آوزفنديغ,,,word,,,new,0,
auswählen,يختار,آوزفيهلن,,,word,,,new,0,
ausziehen,اخلع ملابسك,آوزتسيهن,,,word,,,new,0,
außer Haus,خارج المنزل,آوسر هآوز,,,phrase,,,new,0,
außerhalb,الخارج,آوسرهالب,,,word,,,new,0,
baden,استحم,بادن,,,word,,,new,0,
bald,قريباً,بالد,,,word,,,new,0,
Basketball,كرة السلة,بازكهتبالل,,,word,,,new,0,
beantragen,التقديم لـ,بهانتراغن,,,word,,,new,0,
beantworten,إجابة,بهانتفورتن,,,word,,,new,0,
bedanken,شكرًا لك,بهدانكن,,,word,,,new,0,
bedeuten,يقصد,بهدأويتن,,,word,,,new,0,
bedienen,يخدم,بهدينن,,,word,,,new,0,
beeilen,أسرع,بهآيلن,,,word,,,new,0,
beenden,ينهي,بهندن,,,word,,,new,0,
befristet,مؤقت,بهفريزتهت,,,word,,,new,0,
beginnen,يبدأ,بهغيننن,,,word,,,new,0,
begründen,يبرر,بهغروندن,,,word,,,new,0,
bei (+ D.),في (+ د.),باي (+ د.),,,phrase,,,new,0,
beide,كلاهما,بآيده,,,word,,,new,0,
bekannt,معروف,بهكاننت,,,word,,,new,0,
beliebt,شائع,بليبت,,,word,,,new,0,
benutzen,يستخدم,بنوتسن,,,word,,,new,0,
bequem,مريح,بهكفِم,,,word,,,new,0,
beraten,ينصح,براتن,,,word,,,new,0,
bereitllegen,يحضر,برآيتللِغن,,,word,,,new,0,
bereuen,يندم,برأوين,,,word,,,new,0,
berichten,تقرير,بريشتن,,,word,,,new,0,
beruflich,مهنيا,بروفليش,,,word,,,new,0,
beruhigen,هادئ,بروهيغن,,,word,,,new,0,
berühmt,مشهور,بروهمت,,,word,,,new,0,
beschreiben,يصف,بهشرآيبن,,,word,,,new,0,
beschützen,يحمي,بهشوتسن,,,word,,,new,0,
besetzt,مشغول,بهزِتست,,,word,,,new,0,
besichtigen,منظر,بهزيشتيغن,,,word,,,new,0,
besondere,خاص,بهزوندره,,,word,,,new,0,
besser,أحسن,بهززر,,,word,,,new,0,
bestehen,يتكون,بهزتههن,,,word,,,new,0,
bestellen,طلب,بهزتللن,,,word,,,new,0,
besuchen,يزور,بهزوخن,,,word,,,new,0,
betonen,يؤكد,بهتونن,,,word,,,new,0,
betont,يؤكد,بهتونت,,,word,,,new,0,
betreuen,انظر بعد,بهترأوين,,,word,,,new,0,
bewegen,يتحرك,بهفِغن,,,word,,,new,0,
bewerben,يتقدم,بهفربن,,,word,,,new,0,
bewundern,يُعجَب ب,بهفوندرن,,,word,,,new,0,
bewölkt,غائم,بهفولكت,,,word,,,new,0,
bilden,استمارة,بيلدن,,,word,,,new,0,
Biologie,علم الأحياء,بيولوغي,,,word,,,new,0,
bis bald,أراك قريباً,بيز بالد,,,phrase,,,new,0,
bis dann,أراك حينها,بيز دانن,,,phrase,,,new,0,
bis später,أراك لاحقًا,بيز شبيتر,,,phrase,,,new,0,
bis zu,حتى,بيز تسو,,,phrase,,,new,0,
bis (+ D.),حتى (+ د.),بيز (+ د.),,,phrase,,,new,0,
bitte,لو سمحت,بيته,,,word,,,new,0,
bitten,بسأل,بيتتن,,,word,,,new,0,
bitter,مر,بيتتر,,,word,,,new,0,
blau,أزرق,بلآو,,,word,,,new,0,
bloggen,مدونة,بلوغغن,,,word,,,new,0,
blöd,غبي,بلوِد,,,word,,,new,0,
Brasilien,البرازيل,برازيلين,,,word,,,new,0,
brauchen /i/3b braun,أحتاج إلى اللون البني /i/3b,برآوشن /ي/3ب برآون,,,phrase,,,new,0,يبدو أنه يحتوي على مرجع تمرين
breit,واسع,برآيت,,,word,,,new,0,
bringen,يحضر,برينغن,,,word,,,new,0,
buchstabieren,يتهجى,بوخزتابيرن,,,word,,,new,0,
Bulgarisch,البلغارية,بولغاريش,,,word,,,new,0,
bunt,ألوان زاهية,بونت,,,word,,,new,0,
böse,شر,بوِزه,,,word,,,new,0,
chatten,محادثة,شاتتن,,,word,,,new,0,
checken,يفحص,شِكن,,,word,,,new,0,
Chemie,كيمياء,شِمي,,,word,,,new,0,
chillen,برد,شيللن,,,word,,,new,0,
ciao,مع السلامة,كياو,,,word,,,new,0,
circa,تقريبًا,كيركا,,,word,,,new,0,
Co,شركة,كو,,,word,,,new,0,
cool,رائع,كوول,,,word,,,new,0,
da,هناك,دا,,,word,,,new,0,
da vorne,أمامك,دا فورنه,,,phrase,,,new,0,
dabei sein,أن أكون هناك,دابآي زآين,,,phrase,,,new,0,
dafür,لذلك,دافور,,,word,,,new,0,
daneben,بجانب,دانِبن,,,word,,,new,0,
danke,شكرًا,دانكه,,,word,,,new,0,
danke schön,شكراً جزيلاً,دانكه شون,,,phrase,,,new,0,
danken,شكر,دانكن,,,word,,,new,0,
darauf,عليه,دارآوف,,,word,,,new,0,
das,ال,داس,,,word,,,new,0,
das Abend-Programm,البرنامج المسائي,داس ابند-بروغرامم,das,,noun,,,new,0,
das Abendessen,العشاء,داس ابندِززن,das,,noun,,,new,0,
das Abitur,شهادة الثانوية العامة,داس ابيتور,das,,noun,,,new,0,
das Adjektiv,الصفة,داس اديِكتيف,das,,noun,,,new,0,
das Album,الألبوم,داس البوم,das,,noun,,,new,0,
das Alphabet,الأبجدية,داس الفابهت,das,,noun,,,new,0,
das Alter,العصر,داس التر,das,,noun,,,new,0,
das Amt,المكتب,داس امت,das,,noun,,,new,0,
das Angebot,العرض,داس انغهبوت,das,,noun,,,new,0,
das Apartment,الشقة,داس ابارتمنت,das,,noun,,,new,0,
das Arbeitsleben,الحياة العملية,داس اربآيتزلِبن,das,,noun,,,new,0,
das Arbeitszimmer,الدراسة,داس اربآيتزتسيممر,das,,noun,,,new,0,
